Gene1,Gene2,Score
NFKB1,POLDIP3,244
NFKB1,GRCC10,194
NFKB1,TNF,149
NFKB1,CXCL2,140
NFKB1,CCL4,127
STAT1,PSMB9,1008
STAT1,IRF1,611
STAT1,PNP,1321
STAT1,BST2,1029
STAT1,TRIM30A,571
STAT1,MRPL30,473
STAT1,CD274,877
STAT1,SHISA5,1057
STAT1,B2M,405
STAT1,SAMHD1,356
STAT1,SERPINB6A,173
STAT1,IFITM3,409
STAT1,MPEG1,424
STAT1,NRAS,123
STAT1,SNX10,296
STAT1,LGALS3BP,136
STAT1,NAMPT,580
STAT1,NCF1,289
STAT1,IL1RN,200
STAT1,SLC15A3,133
STAT1,TMEM219,484
STAT1,P2RY14,269
STAT1,TAPBP,207
STAT1,SP100,374
STAT1,H2-K1,185
STAT1,ACTR2,253
STAT1,RPL27,143
STAT1,SNX2,133
STAT1,ARL6IP1,105
STAT1,PLK2,138
STAT1,LGALS9,133
STAT1,RPS20,153
STAT1,CCNL1,127
STAT1,CTSC,183
STAT1,RPS7,149
STAT1,CST3,239
STAT1,MAP1LC3B,145
STAT1,SGK1,198
STAT1,CALM1,179
STAT1,CTNNB1,176
STAT1,CTSS,180
STAT1,SLFN2,102
STAT1,CCT4,124
STAT1,GTF2B,218
STAT1,BZW1,178
STAT1,CD68,132
STAT1,CDKN1A,166
STAT1,RPS12,203
STAT1,RPL3,372
STAT1,CSF2RB,134
STAT1,HSP90AB1,209
STAT1,TMBIM6,218
STAT1,ARF4,140
STAT1,LGALS3,131
STAT1,H3F3B,195
STAT1,SEC61G,222
STAT1,POLDIP3,483
STAT1,GRCC10,611
STAT1,RPL23,233
STAT1,RPS10,153
STAT1,PSMB10,126
STAT1,RPS8,127
STAT1,PPIB,131
STAT1,KLK1B11,111
STAT1,SEPT11,160
STAT1,IFRD1,178
STAT1,LCP1,310
STAT1,SRSF2,134
STAT1,ATP1B3,141
STAT1,ITM2B,122
STAT1,MDH2,210
STAT1,GPX1,200
STAT1,MTHFS,125
STAT1,RPL41,172
STAT1,COX7C,124
STAT1,EIF3I,114
STAT1,NFE2L2,138
STAT1,TNF,215
STAT1,NDUFB9,160
STAT1,CETN3,120
STAT1,RPL37A,130
STAT1,CHMP2A,159
STAT1,SPCS1,158
STAT1,LYZ2,262
STAT1,TMSB4X,104
STAT1,SLC25A5,133
STAT1,NDUFS5,109
STAT1,RPS27,226
STAT1,COMMD4,145
STAT1,RHOA,111
STAT1,TUBA1B,148
STAT1,UCP2,164
STAT1,DPY30,141
STAT1,TUBA1C,167
STAT1,EDF1,127
STAT1,CTSH,164
STAT1,ALAS1,133
STAT1,SQSTM1,106
STAT1,ZFP36,131
STAT1,CLEC4N,101
STAT1,IER3,126
SUMO1,RPS29,261
SUMO1,PTMA,202
SUMO1,NME1,167
SUMO1,TNFAIP3,223
SUMO1,RPS17,128
SUMO1,NDUFS7,135
SUMO1,TMBIM4,136
SUMO1,GRCC10,143
SUMO2,RPS29,764
SUMO2,NDUFS7,408
SUMO2,PTMA,461
SUMO2,TNFAIP3,735
SUMO2,CETN3,206
SUMO2,PGAP2,665
SUMO2,NDUFB5,326
SUMO2,PSMB3,267
SUMO2,HEXA,254
SUMO2,IMPACT,289
SUMO2,NDUFB3,193
SUMO2,HSPE1,126
SUMO2,CHCHD2,263
SUMO2,BHLHE40,414
SUMO2,NME1,278
SUMO2,TMBIM4,265
SUMO2,MRPS33,216
SUMO2,CD47,168
SUMO2,LAMP1,496
SUMO2,CCT4,214
SUMO2,PTP4A1,211
SUMO2,RPS7,268
SUMO2,NDUFA13,126
SUMO2,ATP5F1,477
SUMO2,PSMD6,169
SUMO2,SUCLG1,229
SUMO2,RPL27,166
SUMO2,RPL5,147
SUMO2,IDH1,209
SUMO2,RPL9,115
SUMO2,DNAJC19,212
SUMO2,MORF4L2,392
SUMO2,MRPS18C,147
SUMO2,RPS8,180
SUMO2,CTSA,174
SUMO2,ACTR3,249
SUMO2,HIST1H2BC,136
SUMO2,ZBTB8OS,197
SUMO2,RPS17,115
SUMO2,1810022K09RIK,136
SUMO2,GRCC10,225
SUMO2,PDCD5,153
SUMO2,CD274,181
SUMO2,RPL6,129
SUMO2,PTS,140
SUMO2,ACTB,197
SUMO2,PSMB7,108
SUMO2,PLAUR,216
SUMO2,SAR1B,109
SUMO2,VPS28,139
SUMO2,PAIP2,119
SUMO2,NSMCE2,107
SUMO2,NFKBIZ,142
SUMO2,RPL8,126
SUMO2,RAN,113
SUMO2,PSMA1,103
SUMO2,MAP1LC3B,151
SUMO2,CCT8,123
SUMO2,PNP,132
SUMO2,PSMB5,166
SUMO2,CD24A,157
SUMO2,RPL26,128
SUMO2,GSTM1,256
SUMO2,IGSF6,217
SUMO2,RPS28,118
SUMO2,NDUFA7,118
SUMO2,MALT1,206
SUMO2,RILPL2,204
SUMO2,ATP6V1C1,200
SUMO2,TGIF1,192
SUMO2,POLDIP3,188
SUMO2,CFDP1,104
SUMO2,RPS11,179
SUMO2,NPTN,172
SUMO2,NINJ1,136
SUMO2,YPEL5,132
SUMO2,H3F3A,132
SUMO2,EIF1AX,117
