Gene1	Gene2	EdgeWeight
ARC	FYCO1	1
CDC45	TMEM229B	1
INSRR	GYPA	1
CTPS	HDAC11	1
LIMK2	PTPN4	1
WDR41	CARHSP1	1
CENPE	SLC37A3	1
ARC	BICD1	1
EXOC3L	PRDX2	1
FKBP14	STT3A	1
TMEM38A	PLOD1	1
2810021J22RIK	TNFSF8	1
ARID5A	KLF6	1
GPR4	ZFP948	1
GATA1	SEC23A	1
IL13RA1	GM15564	1
CD3G	ZFP39	1
UBE2G2	GFPT2	1
ADGRD1	ACOT11	1
GM26603	9230109A22RIK	1
SHE	NEU1	1
MFSD1	NDE1	1
AKAIN1	NXPE2	1
GM37262	NR4A1	1
PSME4	CCT3	1
TEF	TCF7	1
SHE	PGGHG	1
KIZ	GM12258	1
HOXA9	NOTCH1	1
RCSD1	FAM234A	1
TTC39A	GGCX	1
SLC6A15	GM42585	1
ICE1	AIF1	1
SLC39A10	CYB5R1	1
COMT	DUSP16	1
GM9889	RNF24	1
CTNND2	GTF2F1	1
SOX7	MRPL20	1
PPM1G	CDC6	1
TTC8	SHMT1	1
ZFP935	IL1RL2	1
USP25	PSEN1	1
HMGCR	ELAC1	1
ZRANB1	CERK	1
GPM6B	UPRT	1
ETF1	PSG17	1
MCM2	TERT	1
PFKP	AKNA	1
CALR	FZD6	1
SLC7A8	SLC17A4	1
SORT1	TRIM47	1
IL1R1	BYSL	1
NR6A1	FBXO11	1
TM7SF3	NUDT12	1
OSBPL1A	ZBTB38	1
HTRA3	PIAS3	1
GDAP10	RHOBTB3	1
TRIM35	PDIA4	1
CMTM6	DDIT4L	1
1110059E24RIK	ZFP599	1
HSP90B1	2510009E07RIK	1
NEO1	KDM1B	1
ATP13A2	NUDCD3	1
ZFP322A	WSB1	1
RAB18	SLC6A19	1
CHMP3	RECK	1
SORT1	PCDHB5	1
FAM161B	MYO1F	1
4930563E22RIK	SLC35A4	1
ARXES1	ALOX5	1
KLHDC8B	DHX33	1
MSL3L2	ZFP273	1
LPCAT1	SLC26A11	1
TRIB3	EIF4ENIF1	1
UTP4	JAK2	1
FZR1	P2RY10	1
PYGL	PXK	1
NMUR1	SEL1L	1
MTMR12	CREBRF	1
TSPAN6	PLSCR4	1
RASIP1	NMRK1	1
RAD21	CCRL2	1
ACBD5	RUNX1T1	1
SLA	ASPHD2	1
A430110C17RIK	STK25	1
ME2	NLRP1B	1
9530068E07RIK	JUNB	1
SENP7	PCMTD1	1
AAK1	DPY19L1	1
SERPINB6B	HSPB1	1
IGHV6-6	PTPRE	1
1200007C13RIK	RAP1B	1
PFKP	SLC31A2	1
ITFG1	CSF2RB2	1
CENPF	ZFP14	1
HSP90AA1	ADPRM	1
NUCB2	WDR43	1
CCDC102A	ALG11	1
ERGIC1	GDAP2	1
ST3GAL6	WLS	1
ICT1OS	TMEM106B	1
ZFP949	PCNA	1
COX7A2	FEM1A	1
RHAG	SLCO3A1	1
ANKRD46	PDLIM5	1
INTS8	MFSD2B	1
COLGALT1	GM42514	1
PRIM2	LGALSL	1
STOM	ZUP1	1
SLC19A1	GIMAP1OS	1
S100A16	ARC	1
EFHC1	ZFP667	1
MDFIC	PON3	1
RARS	SDC2	1
STAM2	P2RY14	1
CCND3	FICD	1
HLTF	NARF	1
RAB20	TMEM109	1
GM16758	ZFP955B	1
RAN	MAP10	1
SCARA5	CMTM6	1
PKN3	ZC3H6	1
GANAB	SNN	1
STX2	ACAP1	1
DDIAS	DNASE1L3	1
HEMGN	TSPAN6	1
ZFP719	TRIM12A	1
NDUFS1	FCER2A	1
FOS	GM17435	1
PXYLP1	SH3TC1	1
TRIM35	TRAT1	1
FBXW17	POMGNT2	1
TFEC	PRNP	1
RAPGEF3	RBSN	1
DAPP1	SLC35F6	1
CKB	TM4SF1	1
HCK	RHAG	1
CD99L2	ATP8A2	1
SIRPA	PLK2	1
PPIC	SSX2IP	1
AHRR	HPGDS	1
GM21781	EPB41L5	1
CAR2	TNFSF11	1
GM43149	FAM187B	1
PRMT9	NCKAP1L	1
FCNA	SLC25A25	1
CCDC50	SRMS	1
PRSS50	SOX18	1
PPBP	PDK2	1
PDK3	ATG4B	1
GIMAP1	IGTP	1
S100A9	STK38	1
SLC34A3	TAF9B	1
IGLL1	ASPM	1
GM20559	RAB18	1
GM37205	COX4I1	1
NMT2	VWF	1
APBB1	NUSAP1	1
FBLN5	BACE1	1
GLIPR2	IGHV1-76	1
ZFP111	WDR19	1
DRAM2	DNAJC11	1
NFE2L2	CHST2	1
NASP	P2RY2	1
TMEM38A	GNL3	1
DPP4	UBASH3A	1
GM9903	BE692007	1
CCDC102A	REL	1
DECR2	FLVCR1	1
NDUFA10	TTC39C	1
ZKSCAN17	ZFP931	1
PRKG1	TBC1D2B	1
PLIN2	GUF1	1
ANKRD50	FYCO1	1
GTF2F1	ATP6AP1	1
ZFP558	GHR	1
MDFIC	SUOX	1
LIMD2	4922502D21RIK	1
SALL2	CALHM2	1
ENPP5	ARHGEF5	1
GSTM5	TXK	1
EML2	ST8SIA4	1
MAGEE1	WDR19	1
CSRP3	DPP4	1
GMPS	GM29112	1
STOM	PRG2	1
PHETA2	GM11282	1
MAN2B2	EPX	1
CKB	HPN	1
STRAP	XK	1
RBM33	COQ8A	1
DDX39	RAB3IL1	1
2210016L21RIK	GBP3	1
SLC13A2	PICALM	1
GM43727	PIK3IP1	1
POT1A	ZFP940	1
IER5	ABHD4	1
NLRC3	ICA1L	1
SNX32	GM24468	1
CTR9	FLNA	1
BHLHA15	CD34	1
ARHGEF16	SWAP70	1
IL1R2	PRC1	1
GM42442	ITPR1	1
ATP2A3	TMEM56	1
ZFP930	TTC26	1
6820402A03RIK	NAA50	1
LY6A	TM9SF2	1
CSGALNACT1	ZFP654	1
SPTLC1	EDN3	1
TFPI	PRKAR2B	1
SPC24	MTMR1	1
PTDSS2	RBM18	1
6330403L08RIK	RO60	1
D230025D16RIK	LBP	1
TCTE2	IGKV1-135	1
ANXA1	MS4A6C	1
CAPG	WDR1	1
CERS4	INTS13	1
RCSD1	PSG17	1
PDK2	TBXAS1	1
ICE2	TAPT1	1
CERS4	CST3	1
ZFP120	NIT1	1
NDUFB9	CHST15	1
SLC2A5	TNFSF14	1
BEND4	NUDT11	1
DENND1B	TMEM186	1
MYL10	CCDC93	1
HMBS	RNF14	1
ZFP275	ID2	1
PIK3C3	NRBP2	1
RNF31	LCK	1
IER3	IL6ST	1
PDZK1IP1	LPP	1
SOX6	GM14403	1
FBXL21	GM43024	1
TCRG-C1	CYB5D2	1
CDIP1	STOML1	1
GPRASP1	BIN2	1
PFAS	RABIF	1
AAR2	CNOT10	1
SLC16A11	NIT1	1
SLCO4A1	GPR180	1
LEF1	SMU1	1
IGKV4-92	ZFP287	1
GM3248	GPR180	1
MMP17	THUMPD1	1
4930550C14RIK	RUSC2	1
ASB8	PHF6	1
ASF1B	CDC42SE2	1
PPP1R3B	AURKA	1
SGMS2	FCNA	1
GPR180	ZFP113	1
ZFP661	ZFYVE27	1
MILR1	FNDC3B	1
PFKP	ANAPC4	1
TNIK	PARVG	1
IDH1	ZFP931	1
NAIP6	JARID2	1
RIC8B	STT3B	1
PLA2G4A	ZDHHC17	1
GM26610	SLC37A2	1
USP25	MAP4K2	1
PRDM15	LMO4	1
PLEKHB2	ZFP35	1
BPIFC	ABCC10	1
CASP2	ZFP93	1
GOLM1	SALL2	1
KLF6	PPA1	1
TMEM184C	PLK2	1
SYNJ1	ZSCAN22	1
GM37645	CAPN2	1
NPC1	PITRM1	1
PGLYRP2	E2F8	1
FPR1	GPR180	1
MTURN	ZFP239	1
WDPCP	STAB2	1
RALGPS2	TMEM201	1
EPX	ZFP941	1
RAI2	HSDL1	1
GRK3	GM15261	1
DNASE1L3	FGD4	1
RBM44	RANBP9	1
MXD3	BBS2	1
NAPB	ADD2	1
NFAM1	B230354K17RIK	1
RFTN1	SPIRE1	1
AK4	KDM8	1
MIR17HG	RPS6KC1	1
4732440D04RIK	KCNK1	1
LONP1	F5	1
CYB561D1	RASSF5	1
SASH3	INSL6	1
PRKAB2	LRRC74B	1
TRIQK	PRPS1	1
IKBKB	MIR6240	1
C130089K02RIK	CPVL	1
COPG2	ZFP438	1
KLHL8	ABCD3	1
FCGR2B	BTRC	1
GUCY1A1	GEMIN5	1
CLEC4D	NUDCD3	1
DPH2	TUBA1B	1
OCIAD2	CACNA2D1	1
IGKV4-92	RCC1	1
CRBN	ADSL	1
NUP88	CADPS2	1
RNF4	SEC23A	1
CYP39A1	ZFYVE27	1
EDRF1	BPGM	1
CYB5R1	CDS2	1
GPSM1	PPT1	1
PCSK7	IFIH1	1
PRELID3B	GM37298	1
ZC2HC1A	ZFP788	1
GPSM1	LRCH1	1
GM18407	ARMC7	1
LY86	BIRC3	1
PDZD3	TNFRSF13C	1
VWF	EGR2	1
MNS1	GPM6B	1
AREG	FBP1	1
MAMDC4	ACVR2A	1
SPTLC1	STEAP4	1
CMPK2	OLFR178	1
RANBP3	B3GALNT2	1
IGHJ4	DNAJC28	1
TEX15	CLEC1B	1
GCLC	ZFP458	1
FAM120B	B230312C02RIK	1
VEGFC	N4BP3	1
HELLS	KCNJ1	1
MCM2	ARID5A	1
HACD3	WDR41	1
SRMS	NMD3	1
GAA	TENM3	1
CTNND2	FAM185A	1
VPS9D1	CTSZ	1
CCNE2	AK4	1
CCT8	KIF2C	1
PSTPIP1	CYP2D22	1
THADA	GBP4	1
ZFP451	ASAH1	1
PRPF4	SLC5A6	1
REEP6	TAF12	1
NAAA	SLFN5	1
DNPEP	NSDHL	1
GM128	FEM1B	1
CCDC122	MFSD10	1
SLC28A2	CARD11	1
GM2A	ZKSCAN17	1
ADAMTS6	PKD2	1
PALLD	GM16364	1
GOPC	ITGAV	1
CREBRF	GM38299	1
EXOC6B	TRIM10	1
TRBC2	PSMD3	1
PPBP	ZFP748	1
WDR36	ZFP746	1
S100A3	SCML4	1
GORASP1	FECH	1
ZNRF2	GM17396	1
ISG20	TOR1AIP2	1
GM13571	ENPP1	1
GM12250	SIGIRR	1
L2HGDH	NPR2	1
CKS2	KDF1	1
CRY2	GBP4	1
4930502E18RIK	IL6ST	1
HEMGN	ZFP40	1
CALCRL	PRPS2	1
6330403L08RIK	KLHL12	1
ARHGEF16	PLBD2	1
GM10419	MADD	1
ZFP882	SPIDR	1
SHKBP1	RPL39L	1
ETF1	RABGGTB	1
CNOT10	MYOF	1
A630023P12RIK	A730020E08RIK	1
DUSP26	PRDM15	1
KANK3	IGHG3	1
GM10039	SELPLG	1
NUP107	MGLL	1
2510009E07RIK	TTC12	1
PROM2	B2M	1
BACE2	OCLN	1
ZFP808	DOCK11	1
ASAH1	GM28455	1
GM37186	FEM1C	1
ARMCX2	ZFP592	1
SMC4	DEK	1
TMEM30A	SNX29	1
NAIP5	FKTN	1
TSPAN12	GEM	1
RTL6	TMEM170B	1
SULT5A1	PLAA	1
UBOX5	RDH10	1
TEK	TUBA1B	1
CCDC166	TMEM64	1
AKR1C12	ZFP937	1
SLC2A1	TAF4B	1
GM43696	NIF3L1	1
2810468N07RIK	MTAP	1
TMBIM1	LARS2	1
FBXO34	GK	1
EXOC2	C1QBP	1
IRF1	KIF2C	1
SCAMP1	TM6SF2	1
ATP1B1	GM1966	1
COL23A1	DDIAS	1
ZFP111	LDAH	1
CCNE2	HNMT	1
MKI67	IGHV6-6	1
ABCE1	ZFP970	1
SLC16A1	ADK	1
RECK	RAD51	1
4930522L14RIK	FGF3	1
GLRX5	SOCS2	1
IGHV1-58	SLC34A3	1
WDR43	GPR174	1
SLC44A2	CD101	1
TTC8	SALL2	1
CYP51	PTGIR	1
GM37893	MKI67	1
IFIT1BL1	GRN	1
NAPG	TEAD2	1
BBS1	NUP155	1
VPS41	BCAP29	1
SYTL1	FECH	1
PARD6B	TMEM273	1
GM43123	KIF22	1
ABTB1	FOXRED2	1
LIN28B	MAGEE1	1
USP14	GM42617	1
MCM3	ZFP748	1
RXRG	SLC30A6	1
TDRD7	TMEM170B	1
GSTM4	LAPTM5	1
ARCN1	4921507P07RIK	1
ZFP354C	EMB	1
ACVR2A	HACE1	1
ZBTB40	GM12503	1
PTCD3	RNF227	1
NFE2L2	SPRY1	1
PRSS34	CCDC158	1
MFSD2B	VIM	1
ZSWIM3	USP46	1
CTDSP2	ARL11	1
METTL25	FMO5	1
NPNT	LARP6	1
ZFP202	CNN2	1
KLHL28	SUPT7L	1
RAB31	BIRC2	1
4921507P07RIK	CCL5	1
PRKAA2	GSKIP	1
TCAF2	STK3	1
RAI2	NFE2L2	1
ERRFI1	ZFP951	1
AP1G2	OAS1A	1
SLC19A1	ORAI2	1
MYO5A	H2-Q7	1
ADAM11	1700028E10RIK	1
SH3BP5L	GSKIP	1
SLC6A3	GGTA1	1
TUBB5	PEX12	1
ZFP939	ZFP831	1
TERF2IP	L2HGDH	1
BYSL	RDH11	1
ZFP810	GM26917	1
MSRB3	SLBP	1
PNPLA7	EPX	1
PGLYRP2	IGKV4-50	1
TEX15	NEAT1	1
PGGHG	BPIFB5	1
LGALS8	PRODH	1
NAA35	TNFRSF13B	1
KLF6	OCLN	1
LDLRAD3	SMUG1	1
CBFB	ERCC8	1
ACY3	STX7	1
MIPOL1	ABRAXAS2	1
VHL	MAPK12	1
PKN3	CYBC1	1
ZFP874B	1700006J14RIK	1
CD300LG	CREG1	1
GZMA	SNX32	1
GM42992	RPS6KA5	1
GM10384	IL18BP	1
ACPP	MRC2	1
LGMN	DUSP2	1
ICAM1	SDC3	1
GM16861	GM1966	1
FSTL1	SLC2A1	1
LMBRD1	MINDY1	1
TMEM18	GMNN	1
CORO2B	CPNE8	1
HERPUD1	PECAM1	1
ATP6AP2	PIK3C3	1
IGHV1-77	ARMH4	1
GOSR2	IFT122	1
SIGIRR	GM17590	1
SPNS3	TMEM206	1
NFE2L2	PHF11B	1
EDEM1	MCM4	1
KAT7	SLC46A3	1
ADA	ATP10A	1
TPPP	LTF	1
NXPE2	ESCO2	1
LCN4	PRDM5	1
ZFP775	ZFP473	1
HEPACAM2	SLC17A4	1
RAD51AP1	GM9968	1
CYFIP1	BRMS1L	1
CCT8	KLF1	1
1810010H24RIK	SLC26A1	1
2310057M21RIK	RGS14	1
CASTOR1	SNUPN	1
CELA1	2510009E07RIK	1
GRIA3	NDC1	1
SGPP1	ZFP658	1
NAB1	GDAP1L1	1
MOV10	PF4	1
SARAF	REEP3	1
ABCD3	TRAM1L1	1
FZD1	ARHGAP28	1
TMEM129	RMND5A	1
IGSF6	SLC12A2	1
KDM6A	NUDT9	1
PYGB	PMPCA	1
SPATA2L	9330175E14RIK	1
MYO1G	TRP53BP2	1
OTULINL	HERC3	1
GM1966	PROCR	1
PPM1L	MMP9	1
SPATA6	BANK1	1
TMEM86A	DEK	1
CYP2J6	CNR1	1
ZFP948	TRMT6	1
SAMD9L	ATG14	1
SLFN4	ARAP1	1
NFIA	DYNLL1	1
ELANE	RORA	1
SLC17A5	MYH10	1
PICK1	GM567	1
HSP90AA1	HDAC10	1
IFT140	PPP2R2B	1
ALCAM	MYLK3	1
DPP8	ICE1	1
IFI209	RFTN2	1
AHRR	GPR18	1
CDH1	SMAD3	1
CAPN5	HARS2	1
ZFP275	SLC35E1	1
ULK4	ZFP958	1
CCNG1	TBC1D25	1
CCT4	C77080	1
SSX2IP	GM43570	1
GM5431	SLC20A1	1
MCM4	CENPI	1
KREMEN1	GM43149	1
C330018D20RIK	JMY	1
SYNJ1	ALG9	1
ACSL3	PLPP7	1
EFR3A	FBXO30	1
GM16299	GM1966	1
GM12503	DPH2	1
IGHV11-2	SLC28A2	1
TAF4B	REXO4	1
HPS6	COPB1	1
ACP5	APBB1	1
IGFBP7	TTBK2	1
CASP3	AKT3	1
EXOC6B	GCNT2	1
CPNE8	SRC	1
GM4951	NPTN	1
ADSL	SLC17A4	1
AGO4	TRP53BP2	1
VDAC2	GM4208	1
TCP11L2	ATP6V1A	1
NAGLU	SLC35A5	1
RPP40	PARD6B	1
PABPC4L	RAD51	1
FBXO34	KCNJ1	1
ABL2	SNN	1
ZFP882	SVIP	1
ZFP493	STK3	1
SF3B3	FICD	1
IGSF6	9330175E14RIK	1
GIMAP5	FNDC3A	1
ELOVL5	CCT6A	1
GM10039	GM43011	1
VEZF1	LYPLAL1	1
AI504432	SLC12A2	1
CD48	9230112E08RIK	1
PAQR7	ANO7	1
MGAT5	CDC42EP4	1
SBF2	NEK7	1
NPRL3	LGALSL	1
GM37645	RORA	1
SLC12A7	FZD1	1
CYP4V3	ACSL5	1
NARF	FNIP1	1
WDR4	GBP9	1
FHL4	CDKN1A	1
FUCA2	VPS50	1
TRAT1	TIMM50	1
9330198I05RIK	GATA2	1
IDUA	DHRS3	1
MINDY3	GM42141	1
ANXA5	C130013H08RIK	1
TRBC2	LRRFIP1	1
ATG16L2	ANK	1
D930020B18RIK	ACOT11	1
MCM7	ENPP6	1
GM37499	RNF157	1
LARP6	GIMAP1	1
FAM169B	AHRR	1
PLXNA4OS1	DPP7	1
NMD3	H2AFY	1
ABL1	PCTP	1
ARMCX5	SLCO4A1	1
REDRUM	BTBD3	1
CTSS	FAM168B	1
COPB1	NT5DC1	1
PNO1	ZFP729A	1
TESPA1	TMEM18	1
HDAC11	SLC11A2	1
GTF2E1	TMEM175	1
IFI204	THAP6	1
CEP68	MBNL3	1
CENPF	EXOC4	1
PRKX	ACBD5	1
NMD3	PHETA1	1
MIGA2	ZAP70	1
ABCD2	SH3BGRL	1
RRM1	P2RY10B	1
FAM214B	CD99L2	1
WARS	NKG7	1
NFAM1	SETD2	1
LHCGR	SOAT1	1
ARAP1	GM5113	1
E2F4	PVR	1
PPFIBP1	DHRS3	1
EML4	ZFP612	1
DYNC1LI2	SMPD2	1
AP1S2	GSTM4	1
TRPC6	P2RX2	1
EML5	ZFP442	1
GTPBP2	ZRANB1	1
IL18RAP	CLDN12	1
C230085N15RIK	PSMD7	1
UBA2	ABCD1	1
FNDC3B	KDM6A	1
GATM	GRAP	1
WARS	ZFP28	1
ZFP764	KIF20B	1
TUBA4A	TMEM176B	1
NR2C1	TCTN2	1
SLC14A1	GM43268	1
ADIPOQ	ACAA2	1
RIPOR2	DMRTC1A	1
SBF2	AACS	1
ASH1L	FER	1
GM8369	PHLPP1	1
TMEM86A	ZFP27	1
GM10605	CLCN3	1
STOML1	PPP1R3B	1
RUNX2	ENPP2	1
BHLHE40	SIGIRR	1
PNPLA8	FDFT1	1
PUSL1	ART4	1
CCT3	CORO7	1
GBP8	SAT1	1
SELPLG	OCLN	1
KPTN	MYADM	1
ERGIC1	PGF	1
NLRC5	TOM1L2	1
AU041133	SLC2A5	1
PPP1R3B	ADD2	1
FGL2	RPA2	1
CCDC122	ERBB3	1
RHBDD1	PIM2	1
TM7SF3	CAV2	1
NRROS	APOE	1
LYPD6B	LMNA	1
TGFBR1	PARP9	1
