Gene1,Gene2,Score
CBFB,NAA35,940.0
CBFB,DNPEP,1004.0
CBFB,STXBP3,1020.0
CBFB,PTPN12,680.0
CBFB,NT5DC1,974.0
CBFB,HMBS,779.0
CBFB,METAP1,811.0
CBFB,ZZZ3,935.0
CBFB,ATP7B,868.0
CBFB,ALG11,868.0
CBFB,TCP11L2,1006.0
CBFB,LCP1,1162.0
CBFB,XAB2,1094.0
CBFB,ENPP4,832.0
CBFB,CYB5R3,1127.0
CBFB,UBE2G2,1351.0
CBFB,CRK,818.0
CBFB,SACM1L,797.0
CBFB,FGFR1OP,851.0
CBFB,ELAC2,1091.0
CBFB,VPS33B,793.0
CBFB,CKAP5,972.0
CBFB,ZFP62,708.0
CBFB,PDE4B,1064.0
CBFB,WDR75,1295.0
CBFB,MBTPS1,647.0
CBFB,CLCN4,820.0
CBFB,WDR45B,799.0
CBFB,FNTA,788.0
CBFB,BCLAF3,849.0
CBFB,IFRD2,911.0
CBFB,GPR171,1237.0
CBFB,EZR,792.0
CBFB,ZFP24,754.0
CBFB,TBCD,1382.0
CBFB,GYPA,1957.0
CBFB,PHAX,1001.0
CBFB,IFT140,768.0
CBFB,ST8SIA4,866.0
CBFB,ATL2,754.0
CBFB,ISG20,638.0
CBFB,KIF11,1030.0
CBFB,AURKA,1297.0
CBFB,CNOT7,601.0
CBFB,PTDSS1,1004.0
CBFB,CHP1,862.0
CBFB,ATG4B,836.0
CBFB,AHCYL1,917.0
CBFB,WDSUB1,849.0
CBFB,ZFP397,1386.0
CBFB,UBR1,906.0
CBFB,RAD21,630.0
CBFB,LANCL2,1086.0
CBFB,IPO9,675.0
CBFB,HAUS2,1155.0
CBFB,ADK,975.0
CBFB,MCM4,1102.0
CBFB,CEP70,676.0
CBFB,NOL9,885.0
CBFB,BAP1,827.0
CBFB,ARHGAP15,1121.0
CBFB,STAT3,955.0
CBFB,PRMT7,731.0
CBFB,NOLC1,1293.0
CBFB,HARS2,1564.0
CBFB,HARS,1564.0
CBFB,RNF139,678.0
CBFB,FASTKD2,1275.0
CBFB,COA5,889.0
CBFB,THUMPD3,1543.0
CBFB,MOGS,538.0
CBFB,CDCA3,1062.0
CBFB,CNOT10,1142.0
CBFB,SLC31A1,672.0
CBFB,MARS,976.0
CBFB,TFRC,673.0
CBFB,UROS,1198.0
CBFB,PTCD3,1126.0
CBFB,NUDCD1,861.0
CBFB,MGST3,698.0
CBFB,RFC4,730.0
CBFB,TCF12,765.0
CBFB,FAM45A,753.0
CBFB,CDCA8,1054.0
CBFB,NCAPH,673.0
CBFB,EFTUD2,887.0
CBFB,D10WSU102E,933.0
CBFB,UBR7,901.0
CBFB,CDCA4,766.0
CBFB,PPOX,719.0
CBFB,ELP3,675.0
CBFB,FAM168B,568.0
CBFB,MEMO1,711.0
CBFB,RNF145,778.0
CBFB,COPS8,788.0
CBFB,ABTB1,867.0
CBFB,VKORC1L1,750.0
CBFB,GALK2,942.0
CBFB,DUSP1,581.0
CBFB,ADAMTS10,728.0
CBFB,TBL3,837.0
CBFB,SPTBN1,811.0
CBFB,ITSN1,727.0
CBFB,ZYX,705.0
CBFB,CENPO,844.0
CBFB,VPS33A,1053.0
CBFB,PACSIN2,596.0
CBFB,NDC1,1136.0
CBFB,HACD3,1012.0
CBFB,CRBN,679.0
CBFB,UAP1,808.0
CBFB,VIM,588.0
CBFB,FAM136A,801.0
CBFB,EIF2B1,863.0
CBFB,MTREX,905.0
CBFB,DOK2,844.0
CBFB,ZFP655,641.0
CBFB,CCNE2,1470.0
CBFB,PLD3,791.0
CBFB,NECAP2,972.0
CBFB,PLIN3,553.0
CBFB,FARSB,1049.0
CBFB,NFKBIA,555.0
CBFB,CPOX,848.0
CBFB,DENND1C,863.0
CBFB,LPCAT3,749.0
CBFB,ILVBL,559.0
CBFB,KPNA3,679.0
CBFB,RRM1,796.0
CBFB,SDHAF2,705.0
CBFB,CUL4A,770.0
CBFB,MINPP1,642.0
CBFB,ICE1,970.0
CBFB,HERC4,512.0
CBFB,USP37,1327.0
CBFB,ABCB8,572.0
CBFB,NCAPD2,668.0
CBFB,ASAH1,670.0
CBFB,NUBP2,933.0
CBFB,D1ERTD622E,765.0
CBFB,FOXRED1,743.0
CBFB,CKS1B,981.0
CBFB,SCFD1,1047.0
CBFB,P2RY14,801.0
CBFB,ALKBH8,904.0
CBFB,PSMD9,841.0
CBFB,RARS,794.0
CBFB,UBASH3A,815.0
CBFB,BYSL,806.0
CBFB,TMEM68,932.0
CBFB,TIMM50,745.0
CBFB,ZDHHC13,697.0
CBFB,TUBGCP2,643.0
CBFB,ABI1,589.0
CBFB,PSTPIP1,932.0
CBFB,TSPAN3,798.0
CBFB,NUP155,537.0
CBFB,SGO1,784.0
CBFB,MARCH5,727.0
CBFB,PBK,761.0
CBFB,SMC2,880.0
CBFB,PSMD6,766.0
CBFB,WDR73,647.0
CBFB,NEK9,1011.0
CBFB,CPT2,876.0
CBFB,CAST,619.0
CBFB,NSMAF,744.0
CBFB,CYP20A1,636.0
CBFB,MED22,515.0
CBFB,E2F8,644.0
CBFB,TPX2,841.0
CBFB,DCK,574.0
CBFB,FOS,706.0
CBFB,TSPAN14,658.0
CBFB,PICALM,606.0
CBFB,POLR1B,800.0
CBFB,ABCB4,638.0
CBFB,SHCBP1,708.0
CBFB,PPP6C,852.0
CBFB,MFSD1,1130.0
CBFB,PACS1,665.0
CBFB,UBXN2B,635.0
CBFB,ZFP35,688.0
CBFB,FKBP1A,614.0
CBFB,CTSE,556.0
CBFB,ITIH5,933.0
CBFB,TRMT6,1107.0
CBFB,P2RX4,878.0
CBFB,FAAP100,821.0
CBFB,VPS35,654.0
CBFB,ORC6,654.0
CBFB,CISH,576.0
CBFB,MFN2,925.0
CBFB,MAD2L1,658.0
CBFB,DPP8,923.0
CBFB,NCAPG2,722.0
CBFB,NUP93,807.0
CBFB,ANXA5,943.0
CBFB,GTF2F1,860.0
CBFB,ATP13A1,690.0
CBFB,MAU2,790.0
CBFB,WDR4,1221.0
CBFB,RMND5A,552.0
CBFB,LAP3,770.0
CBFB,OASL2,859.0
CBFB,SMIM5,1367.0
CBFB,RGCC,597.0
CBFB,LRRC8C,581.0
CBFB,DCAF11,689.0
CBFB,OPTN,829.0
CBFB,SLC20A1,656.0
CBFB,FZR1,610.0
CBFB,RPA2,694.0
CBFB,CRIP2,970.0
CBFB,AAR2,842.0
CBFB,NUP85,743.0
CBFB,4833439L19RIK,519.0
CBFB,CENPK,771.0
CBFB,ZFP367,637.0
CBFB,GOLT1B,765.0
CBFB,HSPH1,907.0
CBFB,ME2,801.0
CBFB,DRAM2,494.0
CBFB,CEPT1,494.0
CBFB,TMEM186,686.0
CBFB,RFESD,691.0
CBFB,SMAD2,645.0
CBFB,PIK3C3,696.0
CBFB,EXOC3,680.0
CBFB,AP1B1,747.0
CBFB,KLF1,827.0
CBFB,TMX1,488.0
CBFB,EXOC2,468.0
CBFB,ARL8B,754.0
CBFB,ZFP322A,694.0
CBFB,SPPL2A,602.0
CBFB,NARFL,486.0
CBFB,SLC18A2,369.0
CBFB,FPGS,597.0
CBFB,CNIH1,557.0
CBFB,NUP107,709.0
CBFB,CACFD1,649.0
CBFB,ACAA2,596.0
CBFB,RCC1,926.0
CBFB,WDHD1,676.0
CBFB,AURKB,462.0
CBFB,LDAH,752.0
CBFB,LONP1,694.0
CBFB,PQLC1,628.0
CBFB,TOPORS,734.0
CBFB,STEAP3,584.0
CBFB,MRM1,867.0
CBFB,CCNA2,986.0
CBFB,HNRNPLL,428.0
CBFB,TARS,547.0
CBFB,ZFP110,734.0
CBFB,LYRM4,790.0
CBFB,KIF20B,813.0
CBFB,FBXO5,865.0
CBFB,ETF1,641.0
CBFB,ATG12,698.0
CBFB,ODC1,600.0
CBFB,COPB1,752.0
CBFB,FTSJ3,1179.0
CBFB,ADO,670.0
CBFB,SLC25A38,680.0
CBFB,NCLN,820.0
CBFB,GOLPH3,453.0
CBFB,PITRM1,542.0
CBFB,ANAPC4,574.0
CBFB,STXBP4,627.0
CBFB,TMEM168,689.0
CBFB,MTHFD1,693.0
CBFB,GYG,599.0
CBFB,CENPA,721.0
CBFB,RANBP3,559.0
CBFB,BTRC,555.0
CBFB,PLAA,788.0
CBFB,XRCC5,721.0
CBFB,CDT1,601.0
CBFB,STAP1,660.0
CBFB,DNAJC5,570.0
CBFB,TRIM30A,639.0
CBFB,NIT1,651.0
CBFB,KLHL24,697.0
CBFB,ARHGEF6,716.0
CBFB,HUS1,551.0
CBFB,DOCK2,599.0
CBFB,IRF1,465.0
CBFB,2610301B20RIK,554.0
CBFB,MCM3,573.0
CBFB,MYO1D,396.0
CBFB,SESN1,418.0
CBFB,COQ8A,491.0
CBFB,CDK19,474.0
CBFB,POGLUT1,466.0
CBFB,ZFP451,604.0
CBFB,RNF13,479.0
CBFB,NASP,665.0
CBFB,CD1D1,752.0
CBFB,UHRF1,837.0
CBFB,SLC19A1,524.0
CBFB,SNAPC3,603.0
CBFB,COG6,780.0
CBFB,NEDD1,595.0
CBFB,RCSD1,963.0
CBFB,COG7,700.0
CBFB,PRELID3B,563.0
CBFB,GFM1,707.0
CBFB,HSDL1,604.0
CBFB,CCNF,587.0
CBFB,ARHGAP4,768.0
CBFB,JPT2,678.0
CBFB,DIS3L2,644.0
CBFB,ZFP961,644.0
CBFB,UROD,592.0
CBFB,CTNNA1,550.0
CBFB,RMND5B,476.0
CBFB,GSTM1,471.0
CBFB,TVP23B,691.0
CBFB,CKAP2L,619.0
CBFB,NAE1,520.0
CBFB,MRPL37,642.0
CBFB,XK,470.0
CBFB,MTAP,789.0
CBFB,PTDSS2,461.0
CBFB,CHMP3,742.0
CBFB,LDHB,638.0
CBFB,PSMD5,596.0
CBFB,MCM5,607.0
CBFB,NCAPG,653.0
CBFB,MYCN,555.0
CBFB,SEPT6,569.0
CBFB,PIP4K2A,379.0
CBFB,MT2,1516.0
CBFB,LIG1,646.0
CBFB,GSKIP,525.0
CBFB,GMCL1,368.0
CBFB,APLP2,452.0
CBFB,ALG9,490.0
CBFB,B230219D22RIK,476.0
CBFB,IL21R,531.0
CBFB,SLC30A5,767.0
CBFB,NAA50,575.0
CBFB,FECH,553.0
CBFB,ATP6V1A,575.0
CBFB,PPIL4,534.0
CBFB,PLK1,812.0
CBFB,FBXW5,715.0
CBFB,DHFR,642.0
CBFB,ACOX1,446.0
CBFB,HAGH,552.0
CBFB,ALDH18A1,651.0
CBFB,TBC1D15,551.0
CBFB,SPC25,566.0
CBFB,ELP2,460.0
CBFB,CASP3,575.0
CBFB,CYTH4,496.0
CBFB,VAV1,405.0
CBFB,METTL8,587.0
CBFB,RHOF,462.0
CBFB,CAPN7,603.0
CBFB,ZKSCAN3,533.0
CBFB,ASB8,602.0
CBFB,ARAP1,623.0
CBFB,SMIM15,570.0
CBFB,OAT,407.0
CBFB,STT3B,462.0
CBFB,KIDINS220,518.0
CBFB,NUSAP1,790.0
CBFB,MKI67,700.0
CBFB,RASA3,561.0
CBFB,BUB1B,776.0
CBFB,IL27RA,459.0
CBFB,WDR6,432.0
CBFB,TTLL12,504.0
CBFB,DLST,481.0
CBFB,TMEM64,458.0
CBFB,PSEN2,659.0
CBFB,RRM2,490.0
CBFB,NADK,594.0
CBFB,GEMIN5,455.0
CBFB,DPH2,582.0
CBFB,INTS8,635.0
CBFB,ZFP871,564.0
CBFB,UBA7,404.0
CBFB,LRRC14,560.0
CBFB,HMMR,604.0
CBFB,CHAMP1,425.0
CBFB,PIGQ,494.0
CBFB,METAP1D,612.0
CBFB,CTLA2A,521.0
CBFB,UAP1L1,416.0
CBFB,MAPK9,553.0
CBFB,PRIM2,557.0
CBFB,POLR2B,410.0
CBFB,SQLE,422.0
CBFB,MTO1,415.0
CBFB,USP4,585.0
CBFB,USP10,765.0
CBFB,FADS1,623.0
CBFB,XPR1,574.0
CBFB,SSX2IP,508.0
CBFB,LCP2,432.0
CBFB,CHUK,406.0
CBFB,BTAF1,554.0
CBFB,TM7SF3,460.0
CBFB,IPO4,715.0
CBFB,ABCD3,519.0
CBFB,TFG,511.0
CBFB,RABIF,709.0
CBFB,CTSC,510.0
CBFB,USP8,630.0
CBFB,CKAP2,525.0
CBFB,ORC2,547.0
CBFB,LSP1,450.0
CBFB,ALDH9A1,408.0
CBFB,TMUB2,568.0
CBFB,SEC23IP,390.0
CBFB,SPTLC1,564.0
CBFB,NPLOC4,535.0
CBFB,RGS2,533.0
CBFB,DDX1,420.0
CBFB,RFC5,497.0
CBFB,LEPROT,462.0
CBFB,TBC1D10C,461.0
CBFB,SLC25A46,445.0
CBFB,TUBGCP3,560.0
CBFB,LZTR1,540.0
CBFB,SGTA,633.0
CBFB,TMEM164,283.0
CBFB,RGS19,637.0
CBFB,NUDT19,605.0
CBFB,SLC16A1,397.0
CBFB,CDC20,680.0
CBFB,CDC7,513.0
CBFB,SPC24,668.0
CBFB,ASF1B,513.0
CBFB,LRRFIP1,508.0
CBFB,RPP40,500.0
CBFB,WDR55,496.0
CBFB,RGS1,399.0
CBFB,PSAT1,652.0
CBFB,RAB37,800.0
CBFB,TMEM97,456.0
CBFB,STARD10,489.0
CBFB,PDCL,507.0
CBFB,ATP6AP2,385.0
CBFB,AK3,599.0
CBFB,CD48,504.0
CBFB,UBAP1,410.0
CBFB,GPR180,352.0
CBFB,UCKL1,572.0
CBFB,NET1,551.0
CBFB,BC005561,415.0
CBFB,OSTM1,674.0
CBFB,NDEL1,429.0
CBFB,UBE2C,570.0
CBFB,SKAP2,468.0
CBFB,CERS5,555.0
CBFB,TRIM59,380.0
CBFB,CD55,315.0
CBFB,TNFAIP2,491.0
CBFB,INTS13,455.0
CBFB,GCLC,301.0
CBFB,TOP2A,614.0
CBFB,ABL1,319.0
CBFB,ITFG1,456.0
CBFB,KLHL6,419.0
CBFB,RAD51,494.0
CBFB,MARCH6,500.0
CBFB,TMEM173,462.0
CBFB,APEH,442.0
CBFB,AFG3L2,561.0
CBFB,ATP1B2,363.0
CBFB,ENDOD1,450.0
CBFB,PRKAR2B,515.0
CBFB,PRC1,486.0
CBFB,YBX3,356.0
CBFB,PRPF4,351.0
CBFB,PSEN1,421.0
CBFB,MAVS,448.0
CBFB,CYTH3,504.0
CBFB,PON2,532.0
CBFB,NARF,474.0
CBFB,QARS,514.0
CBFB,NPTN,387.0
CBFB,ZFP592,343.0
CBFB,TRIB2,424.0
CBFB,CPQ,450.0
CBFB,UTP4,402.0
CBFB,GNPDA1,386.0
CBFB,VPS41,490.0
CBFB,DENND2D,301.0
CBFB,JAK3,452.0
CBFB,PQLC3,366.0
CBFB,TMEM206,438.0
CBFB,SLC44A2,485.0
CBFB,SPPL2B,475.0
CBFB,CCDC137,646.0
CBFB,TXNRD2,419.0
CBFB,TLK1,279.0
CBFB,CNP,585.0
CBFB,CTSO,567.0
CBFB,NUP88,435.0
CBFB,TMEM109,465.0
CBFB,POT1A,404.0
CBFB,PREP,544.0
CBFB,GORASP1,545.0
CBFB,TOLLIP,454.0
CBFB,2210016F16RIK,533.0
CBFB,METTL27,499.0
CBFB,GIMAP5,426.0
CBFB,TCIRG1,359.0
CBFB,GANAB,532.0
CBFB,TANGO2,394.0
CBFB,TIPIN,442.0
CBFB,SUN1,424.0
CBFB,IARS2,443.0
CBFB,TERF2IP,627.0
CBFB,G6PDX,491.0
CBFB,ERLIN1,461.0
CBFB,GNA13,425.0
CBFB,ZFP266,477.0
CBFB,SEPT8,294.0
CBFB,E2F4,343.0
CBFB,TMC6,497.0
CBFB,TSPAN33,318.0
CBFB,ZFP639,334.0
CBFB,TWSG1,359.0
CBFB,L2HGDH,295.0
CBFB,ELL2,308.0
CBFB,GMNN,490.0
CBFB,VPS11,468.0
CBFB,GMPR,455.0
CBFB,SGPP1,315.0
CBFB,EDC3,333.0
CBFB,USP25,331.0
CBFB,CERS4,308.0
CBFB,EPSTI1,402.0
CBFB,LTB,350.0
CBFB,ZKSCAN17,383.0
CBFB,PLXNC1,390.0
CBFB,ERCC8,412.0
CBFB,CAD,464.0
CBFB,MT1,922.0
CBFB,CES2G,455.0
CBFB,NDRG1,364.0
CBFB,EPOR,563.0
CBFB,RPA1,311.0
CBFB,MPL,469.0
CBFB,BLVRB,376.0
CBFB,MCM2,326.0
CBFB,ATAD1,412.0
CBFB,DCAF4,480.0
CBFB,ABCF3,356.0
CBFB,CYB5R1,417.0
CBFB,E2F6,418.0
CBFB,ST6GALNAC4,391.0
CBFB,CCNB1,654.0
CBFB,TPP1,348.0
CBFB,SPHK1,481.0
CBFB,FLOT2,260.0
CBFB,PPM1H,356.0
CBFB,SLA,443.0
CBFB,METTL7A1,381.0
CBFB,KNSTRN,502.0
CBFB,YOD1,265.0
CBFB,ADSSL1,293.0
CBFB,TMEM176B,567.0
CBFB,TMEM176A,567.0
CBFB,CAR1,541.0
CBFB,GFI1B,401.0
CBFB,GIMAP6,395.0
CBFB,TYMS,341.0
CBFB,CCNE1,341.0
CBFB,CCNB2,573.0
CBFB,PWP1,549.0
CBFB,ISYNA1,408.0
CBFB,MYH10,309.0
CBFB,HEXA,429.0
CBFB,ITGA6,392.0
CBFB,STOM,306.0
CBFB,D230025D16RIK,448.0
CBFB,XPNPEP1,310.0
CBFB,HLF,260.0
CBFB,SLC30A6,321.0
CBFB,JUN,400.0
CBFB,MAPKAPK3,289.0
CBFB,CLN5,527.0
CBFB,MNS1,366.0
CBFB,UMPS,421.0
CBFB,RDH11,283.0
CBFB,AQP9,404.0
CBFB,SLC6A6,262.0
CBFB,SQOR,356.0
CBFB,MFSD2B,741.0
CBFB,MTFR1,378.0
CBFB,NDE1,294.0
CBFB,GSR,331.0
CBFB,SP100,367.0
CBFB,TUBGCP5,319.0
CBFB,LMNA,474.0
CBFB,BID,433.0
CBFB,RNASEL,333.0
CBFB,FAM91A1,389.0
CBFB,PITPNB,320.0
CBFB,TBC1D2B,263.0
CBFB,UBA3,227.0
CBFB,HPN,300.0
CBFB,NAMPT,366.0
CBFB,LAPTM4B,357.0
CBFB,STX12,270.0
CBFB,HPCAL1,391.0
CBFB,PUS7,428.0
CBFB,GIMAP1,334.0
CBFB,MFNG,264.0
CBFB,PDK3,354.0
CBFB,UNC93B1,198.0
CBFB,CDC6,455.0
CBFB,ZFP945,293.0
CBFB,PCYT2,451.0
CBFB,IARS,439.0
CBFB,TMX3,389.0
CBFB,UGCG,268.0
CBFB,GUSB,332.0
CBFB,SPRYD4,503.0
CBFB,FTSJ1,391.0
CBFB,AP1G2,295.0
CBFB,AMPD3,229.0
CBFB,SLC29A1,451.0
CBFB,GLIPR2,286.0
CBFB,HELLS,347.0
CBFB,PLBD2,225.0
CBFB,PHF10,241.0
CBFB,BMI1,265.0
CBFB,CORO1A,266.0
CBFB,TAPT1,303.0
CBFB,PRPS1,286.0
CBFB,BAG2,247.0
CBFB,PPP2R1B,251.0
CBFB,TAF12,264.0
CBFB,CCNG1,320.0
CBFB,TMEM263,315.0
CBFB,MFSD14B,297.0
CBFB,IDH3A,341.0
CBFB,INPP5B,253.0
CBFB,STXBP1,257.0
CBFB,PGM1,235.0
CBFB,ELMO1,221.0
CBFB,GSTM5,297.0
CBFB,LPCAT1,338.0
CBFB,TRMT11,215.0
CBFB,SLC11A2,265.0
CBFB,ANKLE1,494.0
CBFB,GOLM1,262.0
CBFB,ZFP930,244.0
CBFB,MAP4K2,213.0
CBFB,HACD4,450.0
CBFB,MFGE8,325.0
CBFB,ELOVL1,289.0
CBFB,GCNT2,419.0
CBFB,TMEM185A,326.0
CBFB,KIF22,331.0
CBFB,CD82,192.0
CBFB,PADI4,289.0
CBFB,CTTN,226.0
CBFB,EXT2,227.0
CBFB,ANXA6,252.0
CBFB,CYTIP,166.0
CBFB,DDX58,299.0
CBFB,PLCB2,340.0
CBFB,SLC40A1,283.0
CBFB,SLC25A21,219.0
CBFB,SLC25A45,208.0
CBFB,TMEM56,196.0
CBFB,ANKRD27,231.0
CBFB,NAGA,227.0
CBFB,FUCA2,245.0
CBFB,ST3GAL5,321.0
CBFB,FAM234B,286.0
CBFB,KLHL22,242.0
CBFB,NUDT4,248.0
CBFB,ATP6AP1,212.0
CBFB,SNCA,308.0
CBFB,ALAD,243.0
CBFB,KEL,277.0
CBFB,SLC43A3,127.0
CBFB,ANGPT1,210.0
CBFB,ABCG2,277.0
CBFB,TK1,160.0
CBFB,PLIN2,256.0
CBFB,SLC41A3,215.0
CBFB,EMB,149.0
CBFB,GRAMD1A,130.0
CBFB,CSAD,212.0
CBFB,NSDHL,222.0
CBFB,SCARB1,171.0
CBFB,PCLAF,248.0
CBFB,PAK1,162.0
CBFB,PEAR1,205.0
CBFB,CALCRL,209.0
CBFB,PHACTR2,196.0
CBFB,PLA2G12A,242.0
CBFB,GBP2,199.0
CBFB,H1F0,218.0
CBFB,TCN2,182.0
CBFB,CD84,205.0
CBFB,MYO1G,173.0
CBFB,RTP4,170.0
CBFB,PRPS2,203.0
CBFB,WLS,175.0
CBFB,CTLA2B,171.0
CBFB,ADD2,197.0
CBFB,NAPSA,179.0
CBFB,MYL10,188.0
CBFB,GRN,157.0
CBFB,ANK,180.0
CBFB,MAN2A2,175.0
CBFB,PIK3IP1,102.0
CBFB,INKA1,151.0
CBFB,RAB32,186.0
CBFB,UBL4A,195.0
CBFB,IKZF2,184.0
CBFB,ST3GAL6,152.0
CBFB,RNF213,173.0
CBFB,APOE,138.0
CBFB,KLHL23,153.0
CBFB,PRIM1,260.0
CBFB,CITED4,163.0
CBFB,TSPO2,254.0
CBFB,MNDAL,130.0
CBFB,DECR1,155.0
CBFB,ASNS,162.0
CBFB,IFI203,150.0
CBFB,ELF4,161.0
CBFB,ABCB10,171.0
CBFB,ANXA4,163.0
CBFB,SMIM1,156.0
CBFB,ERMAP,228.0
CBFB,EMILIN1,157.0
CBFB,TOR3A,142.0
CBFB,SNX10,126.0
CBFB,PPIC,204.0
CBFB,PLCG2,115.0
CBFB,NXPE2,201.0
CBFB,NEURL3,193.0
CBFB,SCARF1,179.0
CBFB,GNB4,172.0
CBFB,ZFP36,151.0
CBFB,PTGS1,150.0
CBFB,HSD3B7,149.0
CBFB,GNG11,144.0
CBFB,IFI30,143.0
CBFB,HEBP1,139.0
CBFB,CPT1A,135.0
CBFB,SIGIRR,133.0
CBFB,MYCT1,124.0
CBFB,PLEK,121.0
